day,floret,treatment,time,length (mm),ZT
5,3,East,9:00,9.536035088,2.5
5,1,East,9:15,9.952490385,2.75
5,2,East,9:15,10.13186538,2.75
5,3,East,9:15,10.14574038,2.75
5,1,East,9:30,9.754460106,3
5,2,East,9:30,9.705833579,3
5,3,East,9:30,9.839855208,3
5,1,East,9:45,9.3745,3.25
5,2,East,9:45,9.005972222,3.25
5,3,East,9:45,9.066546296,3.25
5,1,East,10:00,9.553560498,3.5
5,2,East,10:00,10.02288309,3.5
5,3,East,10:00,9.279769435,3.5
5,1,West,5:30,6.967849224,-1
5,2,West,5:30,7.071145055,-1
5,3,West,5:30,7.055377624,-1
5,1,West,5:45,7.192533776,-0.75
5,2,West,5:45,6.760144584,-0.75
5,3,West,5:45,7.100331832,-0.75
5,1,West,6:00,7.352924034,-0.5
5,2,West,6:00,7.444459478,-0.5
5,3,West,6:00,7.509111914,-0.5
5,1,West,6:15,7.103177119,-0.25
5,2,West,6:15,6.885948015,-0.25
5,3,West,6:15,7.18754267,-0.25
5,1,West,6:30,7.299232792,0
5,2,West,6:30,7.231933668,0
5,3,West,6:30,7.377942231,0
5,1,West,6:45,6.756990909,0.25
5,2,West,6:45,6.844854545,0.25
5,3,West,6:45,6.734727273,0.25
5,1,West,7:00,6.841266646,0.5
5,2,West,7:00,6.847747515,0.5
5,3,West,7:00,6.834287248,0.5
5,1,West,7:15,6.74329669,0.75
5,2,West,7:15,6.809276157,0.75
5,3,West,7:15,6.557420614,0.75
5,1,West,7:30,7.297557692,1
5,2,West,7:30,7.317278846,1
5,3,West,7:30,6.993375,1
5,1,West,7:45,7.36987963,1.25
5,2,West,7:45,7.020777778,1.25
5,3,West,7:45,7.241037037,1.25
5,1,West,8:00,7.71075,1.5
5,2,West,8:00,7.697586538,1.5
5,3,West,8:00,7.671230769,1.5
5,1,West,8:15,7.868188034,1.75
5,2,West,8:15,7.989717949,1.75
5,3,West,8:15,7.573700855,1.75
5,1,West,8:30,7.837775019,2
5,2,West,8:30,7.6621625,2
5,3,West,8:30,7.497538259,2
5,1,West,8:45,8.232888889,2.25
5,2,West,8:45,8.074464646,2.25
5,3,West,8:45,8.218545455,2.25
5,1,West,9:00,8.27966076,2.5
5,2,West,9:00,9.23641779,2.5
5,3,West,9:00,9.635973547,2.5
5,1,West,9:15,9.079216667,2.75
5,2,West,9:15,9.380908333,2.75
5,3,West,9:15,8.108133333,2.75
5,1,West,9:30,8.79802381,3
5,2,West,9:30,8.845333333,3
5,3,West,9:30,8.949047619,3
5,1,West,9:45,9.781152907,3.25
5,2,West,9:45,9.461991517,3.25
5,3,West,9:45,9.613187922,3.25
5,1,West,10:00,9.550981481,3.5
5,2,West,10:00,9.517703704,3.5
5,3,West,10:00,9.612425926,3.5
5,1,WestHeat,5:30,7.514013903,-1
5,2,WestHeat,5:30,7.113904593,-1
5,3,WestHeat,5:30,7.295940153,-1
5,1,WestHeat,5:45,6.770606399,-0.75
5,2,WestHeat,5:45,6.839550621,-0.75
5,3,WestHeat,5:45,6.979015833,-0.75
5,1,WestHeat,6:00,7.102504406,-0.5
5,2,WestHeat,6:00,7.16381238,-0.5
5,3,WestHeat,6:00,7.203930234,-0.5
5,1,WestHeat,6:15,7.645694444,-0.25
5,2,WestHeat,6:15,7.674708333,-0.25
5,3,WestHeat,6:15,7.838236111,-0.25
5,1,WestHeat,6:30,7.487380952,0
5,2,WestHeat,6:30,7.49002381,0
5,3,WestHeat,6:30,7.387845238,0
5,1,WestHeat,6:45,7.255860697,0.25
5,2,WestHeat,6:45,7.324064528,0.25
5,3,WestHeat,6:45,7.337176243,0.25
5,1,WestHeat,7:00,7.482138298,0.5
5,2,WestHeat,7:00,7.569244681,0.5
5,3,WestHeat,7:00,7.637819149,0.5
5,1,WestHeat,7:15,7.357057297,0.75
5,2,WestHeat,7:15,7.498712318,0.75
5,3,WestHeat,7:15,7.260790577,0.75
5,1,WestHeat,7:30,7.619433962,1
5,2,WestHeat,7:30,7.372141509,1
5,3,WestHeat,7:30,7.468896226,1
5,1,WestHeat,7:45,7.821482143,1.25
5,2,WestHeat,7:45,7.724267857,1.25
5,3,WestHeat,7:45,7.700276786,1.25
5,1,WestHeat,8:00,7.732077586,1.5
5,2,WestHeat,8:00,7.547293103,1.5
5,3,WestHeat,8:00,7.671310345,1.5
5,1,WestHeat,8:15,8.539668692,1.75
5,2,WestHeat,8:15,8.118643403,1.75
5,3,WestHeat,8:15,8.402117232,1.75
5,1,WestHeat,8:30,7.936758362,2
5,2,WestHeat,8:30,8.455566552,2
5,3,WestHeat,8:30,8.657311414,2
5,1,WestHeat,8:45,9.027464912,2.25
5,2,WestHeat,8:45,8.825640351,2.25
5,3,WestHeat,8:45,9.632903509,2.25
5,1,WestHeat,9:00,8.482263158,2.5
5,2,WestHeat,9:00,9.674736842,2.5
5,3,WestHeat,9:00,9.172982456,2.5
5,1,WestHeat,9:15,9.194666835,2.75
5,2,WestHeat,9:15,9.776713106,2.75
5,3,WestHeat,9:15,10.09736043,2.75
5,1,WestHeat,9:30,9.564592593,3
5,2,WestHeat,9:30,9.669435185,3
5,3,WestHeat,9:30,9.661907407,3
5,1,WestHeat,9:45,9.226646462,3.25
5,2,WestHeat,9:45,9.182808873,3.25
5,3,WestHeat,9:45,9.454496604,3.25
5,1,WestHeat,10:00,10.00508869,3.5
5,2,WestHeat,10:00,10.07692905,3.5
5,3,WestHeat,10:00,9.889257206,3.5
6,1,East,5:30,7.034413793,-1
6,2,East,5:30,7.095045977,-1
6,3,East,5:30,7.097574713,-1
6,1,East,5:45,7.123352113,-0.75
6,2,East,5:45,6.955344009,-0.75
6,3,East,5:45,7.130429353,-0.75
6,1,East,6:00,6.895102721,-0.5
6,2,East,6:00,7.348317601,-0.5
6,3,East,6:00,7.428139922,-0.5
6,1,East,6:15,6.876567346,-0.25
6,2,East,6:15,7.148157403,-0.25
6,3,East,6:15,6.824383719,-0.25
6,1,East,6:30,7.4455875,0
6,2,East,6:30,7.5728625,0
6,3,East,6:30,7.4356375,0
6,1,East,6:45,7.321509615,0.25
6,2,East,6:45,6.774182692,0.25
6,3,East,6:45,6.894961538,0.25
6,1,East,7:00,6.949017241,0.5
6,2,East,7:00,6.626336207,0.5
6,3,East,7:00,6.861008621,0.5
